Type [validation category](max length)                TableName.ColumnName
string? (200)                                         Assignment.KeyInformation
int?                                                  Assignment.LinkedAssignmentId
decimal?                                              Assignment.MarginPercent
string? [MultilineText]                               Assignment.Note
DateTime?                                             Assignment.OptimizedAtUTC
byte?                                                 Assignment.PaymentTermId
int?                                                  Assignment.PieceworkNumber
int?                                                  Assignment.ProductAgreementGroupId
int?                                                  Assignment.ProjectId
bool                                                  Assignment.ReadyToInvoice
int?                                                  Assignment.ScheduledTaskDefId
short?                                                Assignment.ServiceAgreementId
int?                                                  Assignment.ServiceContractId
DateTime?                                             Assignment.ServiceInvoiceLimitDate
DateTime?                                             Assignment.SortDateUTC
DateTime?                                             Assignment.StartDateTimeUTC
short?                                                Assignment.StorageId
bool                                                  Assignment.SyncToEconomySystem
bool                                                  Assignment.SyncToMobileDevice
bool                                                  Assignment.Sys_Deactivated
bool                                                  Assignment.Sys_Historic
bool                                                  Assignment.Sys_Incomplete
bool                                                  Assignment.Sys_InitialPostProcessNeeded
bool                                                  Assignment.Sys_IsServiceContract
int?                                                  Assignment.Sys_PreviousProductAgreementGroupId
bool                                                  Assignment.Sys_RowState_NoSyncToEconomySystem
string? (255)                                         Assignment.Sys_Tags
byte?                                                 Assignment.TimeSheetAttachmentsNumber
DateTime?                                             Assignment.WarrantyDate
AssignmentProgressEnum                                Assignment.Enum_AssignmentProgressId
AssignmentStatusEnum                                  Assignment.Enum_AssignmentStatusId
AssignmentTypeEnum                                    Assignment.Enum_AssignmentTypeId
ContractTypeEnum                                      Assignment.Enum_ContractTypeId
InvoiceReserveBilledPriceCalculationEnum              Assignment.Enum_InvoiceReserveBilledPriceCalculationId
InvoiceReserveFixedPriceCalculationEnum               Assignment.Enum_InvoiceReserveFixedPriceCalculationId
bool                                                  Assignment.Ext_Sys_Deactivated
string                                                Assignment.Ext_ExternalId
string                                                Assignment.Ext_In_Error_MsgNO
string                                                Assignment.Ext_In_Error_MsgEN
string                                                Assignment.Ext_In_Error_TraceId
string                                                Assignment.Ext_In_Error_TechDetail
string                                                Assignment.Ext_In_Error_FixLink
bool                                                  Assignment.Ext_In_Error_SetOK
DateTime                                              Assignment.Ext_In_LastSyncUTC
string                                                Assignment.Ext_Out_Error_MsgNO
string                                                Assignment.Ext_Out_Error_MsgEN
string                                                Assignment.Ext_Out_Error_TraceId
string                                                Assignment.Ext_Out_Error_TechDetail
string                                                Assignment.Ext_Out_Error_FixLink
bool                                                  Assignment.Ext_Out_Error_SetOK
DateTime                                              Assignment.Ext_Out_LastSyncUTC
--> Address                                           Assignment.Address
--> Contact                                           Assignment.Default_Contact
--> AssignmentAttachment[]                            Assignment.AssignmentAttachments
--> Contact[]                                         Assignment.Contacts
--> AssignmentParticipant[]                           Assignment.AssignmentParticipants
--> AssignmentProductAgreement[]                      Assignment.AssignmentProductAgreements
--> AssignmentServiceObject[]                         Assignment.AssignmentServiceObjects
--> ExternalSystemAssignment[]                        Assignment.ExternalSystemAssignments
